,Experiment ,Sample_No,Name,Species ,Treatment,Sp_Tr,delta15N,delta13C,N,C,CN_ratio
45,Herbivory,128,H3-3_VS_388,VS,3,VS_H3,-0.015735766,-26.50423412,2.443214565,46.81164865,19.15985985
20,Herbivory,130,H3-1_VS_313,VS,3,VS_H3,2.36893596,-25.22809453,2.980690337,45.64617296,15.31396012
34,Herbivory,131,H3-3_VS_407,VS,3,VS_H3,-0.092619878,-26.80818635,2.804215002,48.03985489,17.13130229
26,Herbivory,107,H4-2_VS_482,VS,4,VS_H4,3.172549578,-27.34089402,2.800689224,47.05515378,16.80127641
55,Herbivory,108,H4-3_VS_535,VS,4,VS_H4,0.339882741,-25.7822299,2.977064667,46.16123212,15.50561956
24,Herbivory,109,H4-3_VS_114,VS,4,VS_H4,3.141839314,-26.76506349,3.254732729,45.94356055,14.11592422
28,Herbivory,112,H4-1_VS_449,VS,4,VS_H4,0.973189807,-27.03087588,2.875550799,46.18748301,16.06213426
57,Herbivory,120,H5-3_VS_711,VS,5,VS_H5,0.618035413,-26.22547616,2.45601247,44.97588633,18.31256432
61,Herbivory,121,H5-2_VS_629,VS,5,VS_H5,3.975111637,-27.28046194,3.370919364,46.96035186,13.93102201
29,Herbivory,127,H5-3_VS_690,VS,5,VS_H5,1.19931181,-30.5856474,2.973545486,42.44589407,14.2745064
25,Herbivory,129,H5-3_VS_712,VS,5,VS_H5,1.75541523,-26.3413885,2.782642465,46.79538795,16.81688846
31,Herbivory,135,H5-2_VS_654,VS,5,VS_H5,4.587852093,-27.02941024,2.99,44.28,14.8105
